Document Count,Mean Posting List Size,Std Dev Posting List Size
0,16,0
500,128.02119093028185,963.7631369617376
1000,195.22318000724374,1789.6072024630832
1500,221.7204414083027,2128.237616978431
2000,252.85489058459987,2480.7391349004906
2500,256.3879663056558,2569.9393623228625
3000,241.56543183402133,2544.8407555479716
3500,239.1776798825257,2574.38346589154
4000,237.05693828844187,2597.4451923145616
4500,232.8811944673445,2608.902871689443
5000,228.86939909690864,2625.949581361654
5500,227.7136739577648,2648.5376528116076
6000,227.65685270873428,2664.97306692961
6500,224.09509474740457,2700.6315046550253
7000,217.63607347798037,2770.9101482221963
7500,215.0502176313909,2789.7897448346707
8000,213.66577916992952,2812.195404920121
8500,214.25232935749187,2860.5254405320534
9000,212.9325936359194,2922.991715067838
9500,219.13781530800043,3084.8495636430416
10000,230.88547116959992,3269.0462663293597
10500,239.01110242376856,3405.5574520586338
11000,244.3573854863613,3491.2341476204138
11500,250.86866939689162,3594.1055602739893
12000,258.86827309236946,3721.716462551648
12500,266.7530228778289,3868.6820202039826
13000,279.61150801312994,4102.8365294327
13500,290.5199533588749,4300.29793746607
14000,292.2989317144336,4347.832960786414
14500,294.1872096009713,4380.179661820972
15000,295.8039692554778,4439.650423349166
15500,296.24038567371827,4550.2932091399325
16000,296.26463061626885,4668.385028568183
16500,292.5210964467005,4665.97902794145
17000,291.4010524637219,4687.876542985753
17500,292.56222535939395,4709.667705313052
18000,296.1560651326593,4782.221862255305
18500,300.64411579609816,4873.845932671984
19000,303.4771824814663,4940.878543079245
19500,307.5045134237959,5035.717342303607
20000,312.8287271462255,5138.100338024803
20500,317.4185313341023,5237.038272370854
21000,321.76937357652776,5323.939025701876
21500,326.25511775104064,5423.677124677639
22000,330.80020408548916,5523.724518248351
22500,335.98136459272615,5630.585503459273
23000,340.20579547578984,5718.979030277114
23500,344.2032546088318,5794.359343345857
24000,349.82761363846595,5922.850911366791
24500,354.34021813098894,6029.378075890111
25000,358.0237258347979,6115.185424709686
25500,362.30698894373506,6217.032593833016
26000,367.03986644649694,6320.892691608681
26500,371.490004699418,6423.014791085754
27000,376.2848190167477,6524.03378774702
27500,380.6115643337627,6634.2601831606735
28000,384.669849640134,6727.051467469109
28500,388.85821742832815,6822.188552870456
29000,393.18338685204134,6926.420491398744
29500,400.7655482387373,7118.924060591858
30000,411.2996628363036,7357.717665796088
30500,420.26657573949365,7557.326943543866
31000,420.8189870849956,7596.466300565304
31500,421.4616765362098,7632.688910793147
32000,421.3397268428189,7685.411497614241
32500,422.2521204651238,7768.486106956049
33000,423.24096040705996,7859.396744070387
33500,425.36118358355856,7970.283289340096
34000,426.0080787602328,8049.004347812426
34500,427.69212088095566,8123.217722404161
35000,428.4375226367258,8168.426046850808
35500,429.15887400994933,8203.086317897563
36000,429.7303945773668,8235.493031022792
36500,430.37116258285545,8270.030993183598
37000,429.931609773413,8290.452219794357
37500,429.7875895339089,8311.183489947713
38000,430.5216857251484,8345.740994350188
38500,431.30015678532027,8387.880229429178
39000,433.9560979842092,8458.060233802238
39500,437.17762399077276,8536.86752125658
40000,439.9145743809373,8608.688427784866
40500,442.90113419652715,8680.891833171203
41000,445.9617090690553,8752.101028681205
41500,449.24942283026934,8821.829091000636
42000,450.31344723846286,8850.297593974443
42500,451.3045152158528,8877.65295922997
43000,452.17050587172537,8900.029338269449
43500,453.0905914508721,8919.801018797041
44000,453.73834586466165,8936.608118389298
44500,455.08718956082504,8964.172906099468
45000,456.641057599395,8998.10601167357
45500,457.96504952016426,9030.812007766146
46000,459.2251390650922,9062.553732837441
46500,460.2644044225019,9088.328482831756
47000,461.3856405130768,9112.055765426241
47500,462.47534650586397,9139.33057874337
48000,463.5433459813729,9166.9287934477
48500,464.7169681546186,9195.253703603357
49000,465.6105505593332,9222.761200006375
49500,466.660431025052,9249.220308973232
50000,467.49057015153164,9277.80247048221
50500,468.3480859619094,9303.157031762736
51000,469.8995921353948,9340.995491716629
51500,470.7216606303043,9364.244782934325
52000,472.00733035088666,9397.822124951785
52500,472.7485342456564,9428.168896252791
53000,473.36284817313475,9452.628378302785
53500,474.84058512127797,9485.141915117027
54000,476.33948457311635,9520.639867876685
54500,477.9344114288749,9555.116539144614
55000,479.4606622376046,9587.820268120802
55500,481.6045772409409,9627.234624423474
56000,483.18641916547676,9661.9255123096
56500,485.2557758825549,9704.299194679399
57000,486.9849865669283,9743.386588797555
57500,488.6425061102205,9782.134984396858
58000,490.5140456812812,9819.869098338622
58500,491.708233318905,9842.52842160278
59000,492.7798709204446,9866.867715740653
59500,493.7120167189133,9891.091418511614
60000,494.7513986515564,9916.631592962633
60500,495.6394773827495,9941.34809769966
61000,496.3198129748685,9961.195002208802
61500,497.00604945788047,9984.398413237734
62000,497.82532152782267,10007.521502752521
62500,499.26948798058305,10039.014816180652
63000,500.55049183286707,10068.424691132497
63500,502.0255651860806,10107.148928543775
64000,503.3579409724898,10138.833691594005
64500,503.97703947621306,10158.289750600414
65000,504.8911063350732,10180.807771612399
65500,505.9590961864785,10209.839755494415
66000,507.3038802166295,10241.041214847115
66500,508.7550004456158,10272.082279745984
67000,510.0940754587418,10301.175145758303
67500,511.42909367859863,10333.150691912342
