Document Count,Term List Size
200000,5319408
200500,5319408
201000,5319408
201500,5319408
202000,5319408
202500,5319408
203000,5319408
203500,5319408
204000,5319408
204500,5319408
205000,5319408
205500,5319408
206000,5319408
206500,5319408
207000,5319408
207500,5319408
208000,5319408
208500,5319408
209000,5319408
209500,5319408
210000,5319408
210500,5319408
211000,5319408
211500,5319408
212000,5319408
212500,5319408
213000,5319408
213500,5319408
214000,5319408
214500,5319408
215000,5319408
215500,5319408
216000,5319408
216500,5319408
217000,5319408
217500,5319408
218000,5319408
218500,5319408
219000,5319408
219500,5319408
220000,5319408
220500,5319408
221000,5319408
221500,5319408
222000,5319408
222500,5319408
223000,5319408
223500,5319408
224000,5319408
224500,5319408
225000,5319408
225500,5319408
226000,5319408
226500,5319408
227000,5319408
227500,5319408
228000,5319408
228500,5319408
229000,5319408
229500,5319408
230000,5319408
230500,5319408
231000,5319408
231500,5319408
232000,5319408
232500,5319408
233000,5319408
233500,5319408
234000,5319408
234500,5319408
235000,5319408
235500,5319408
236000,5319408
236500,5319408
237000,5319408
237500,5319408
238000,5319408
238500,5319408
239000,5319408
239500,5319408
240000,5319408
240500,5319408
241000,5319408
241500,5319408
242000,5319408
242500,5319408
243000,5319408
243500,5319408
244000,5319408
244500,5319408
245000,5319408
245500,5319408
246000,5319408
246500,5319408
247000,5319408
247500,5319408
248000,5319408
248500,5319408
249000,5319408
249500,5319408
250000,5319408
250500,5319408
251000,5319408
251500,5319408
252000,5319408
252500,5319408
253000,5319408
253500,5319408
254000,5319408
254500,5319408
255000,5319408
255500,5319408
256000,5319408
256500,5319408
257000,5319408
257500,5319408
258000,5319408
258500,5319408
259000,5319408
259500,5319408
260000,5319408
260500,5319408
261000,5319408
261500,5319408
262000,5319408
262500,5319408
263000,5319408
263500,5319408
264000,5319408
264500,5319408
265000,5319408
265500,5319408
266000,5319408
266500,5319408
267000,5319408
267500,5319408
268000,5319408
268500,5319408
269000,5319408
269500,5319408
270000,5319408
270500,5319408
271000,5319408
271500,5319408
272000,5319408
272500,5319408
273000,5319408
273500,5319408
274000,5319408
274500,5319408
275000,5319408
275500,5319408
276000,5319408
276500,5319408
277000,5319408
277500,5319408
278000,5319408
278500,5319408
279000,5319408
279500,5319408
280000,5319408
280500,5319408
281000,5319408
281500,5319408
282000,5319408
282500,5319408
283000,5319408
283500,5319408
284000,5319408
284500,5319408
285000,5319408
285500,5319408
286000,5319408
286500,5319408
287000,5319408
287500,5319408
288000,5319408
288500,5319408
289000,5319408
289500,5319408
290000,5319408
290500,5319408
291000,5319408
291500,5319408
292000,5319408
292500,5319408
293000,5319408
293500,5319408
294000,5319408
294500,5319408
295000,5319408
295500,5319408
296000,5319408
296500,5319408
297000,5319408
297500,5319408
298000,5319408
298500,5319408
299000,5319408
299500,5319408
300000,5319408
300500,5319408
301000,5319408
301500,5319408
302000,5319408
302500,5319408
303000,5319408
303500,5319408
304000,5319408
304500,5319408
305000,5319408
305500,5319408
306000,5319408
306500,5319408
307000,5319408
307500,5319408
308000,5319408
308500,5319408
309000,5319408
309500,5319408
310000,5319408
310500,5319408
311000,5319408
311500,5319408
312000,5319408
312500,5319408
313000,5319408
313500,5319408
314000,5319408
314500,5319408
315000,5319408
315500,5319408
316000,5319408
316500,5319408
317000,5319408
317500,5319408
318000,5319408
318500,5319408
319000,5319408
319500,5319408
320000,5319408
320500,5319408
321000,5319408
321500,5319408
322000,5319408
322500,5319408
323000,5319408
323500,5319408
324000,5319408
324500,5319408
325000,5319408
325500,5319408
326000,5319408
326500,5319408
327000,5319408
327500,5319408
328000,5319408
328500,5319408
329000,5319408
329500,5319408
330000,5319408
330500,5319408
331000,5319408
331500,5319408
332000,5319408
332500,5319408
333000,5319408
333500,5319408
334000,5319408
334500,5319408
335000,5319408
335500,5319408
336000,5319408
336500,5319408
337000,5319408
337500,5319408
338000,5319408
338500,5319408
339000,5319408
339500,5319408
340000,5319408
340500,5319408
341000,5319408
341500,5319408
342000,5319408
342500,5319408
343000,5319408
343500,5319408
344000,5319408
344500,5319408
345000,5319408
345500,5319408
346000,5319408
346500,5319408
347000,5319408
347500,5319408
348000,5319408
348500,5319408
349000,5319408
349500,5319408
350000,5319408
350500,5319408
351000,5319408
351500,5319408
352000,5319408
352500,5319408
353000,5319408
353500,5319408
354000,5319408
354500,5319408
355000,5319408
355500,5319408
356000,5319408
356500,5319408
357000,5319408
357500,5319408
358000,5319408
358500,5319408
359000,5319408
359500,5319408
360000,5319408
360500,5319408
361000,5319408
361500,5319408
362000,5319408
362500,5319408
363000,5319408
363500,5319408
364000,5319408
364500,5319408
365000,5319408
365500,5319408
366000,5319408
366500,5319408
367000,5319408
367500,5319408
368000,5319408
368500,5319408
369000,5319408
369500,5319408
370000,5319408
370500,5319408
371000,5319408
371500,5319408
372000,5319408
372500,5319408
373000,5319408
373500,5319408
374000,5319408
374500,5319408
375000,5319408
375500,5319408
376000,5319408
376500,5319408
377000,5319408
377500,5319408
378000,5319408
378500,5319408
379000,5319408
379500,5319408
380000,5319408
380500,5319408
381000,5319408
381500,5319408
382000,5319408
382500,5319408
383000,5319408
383500,5319408
384000,5319408
384500,5319408
385000,5319408
385500,5319408
386000,5319408
386500,5319408
387000,5319408
387500,5319408
388000,5319408
388500,5319408
389000,5319408
389500,5319408
390000,5319408
390500,5319408
391000,5319408
391500,5319408
392000,5319408
392500,5319408
393000,5319408
393500,5319408
394000,5319408
394500,5319408
395000,5319408
395500,5319408
396000,5319408
396500,5319408
397000,5319408
397500,5319408
398000,5319408
398500,5319408
399000,5319408
399500,5319408
400000,5319408
400500,5319408
401000,5319408
401500,5319408
402000,5319408
402500,5319408
403000,5319408
403500,5319408
404000,5319408
404500,5319408
405000,5319408
405500,5319408
406000,5319408
406500,5319408
407000,5319408
407500,5319408
408000,5319408
408500,5319408
409000,5319408
409500,5319408
410000,5319408
410500,5319408
411000,5319408
411500,5319408
412000,5319408
412500,5319408
413000,5319408
413500,5319408
414000,5319408
414500,5319408
415000,5319408
415500,5319408
416000,5319408
416500,5319408
417000,5319408
417500,5319408
418000,5319408
418500,5319408
419000,5319408
419500,5319408
420000,5319408
420500,5319408
421000,5319408
421500,5319408
422000,5319408
422500,5319408
423000,5319408
423500,5319408
424000,5319408
424500,5319408
425000,5319408
425500,5319408
426000,5319408
426500,5319408
427000,5319408
427500,5319408
428000,5319408
428500,5319408
429000,5319408
429500,5319408
430000,5319408
430500,5319408
431000,5319408
431500,5319408
432000,5319408
432500,5319408
433000,5319408
433500,5319408
434000,5319408
434500,5319408
435000,5319408
435500,5319408
436000,5319408
436500,5319408
437000,5319408
437500,5319408
438000,5319408
438500,5319408
439000,5319408
439500,5319408
440000,5319408
440500,5319408
441000,5319408
441500,5319408
442000,5319408
442500,5319408
443000,5319408
443500,5319408
444000,5319408
444500,5319408
445000,5319408
445500,5319408
446000,5319408
446500,5319408
447000,5319408
447500,5319408
448000,5319408
448500,5319408
449000,5319408
449500,5319408
450000,5319408
450500,5319408
451000,5319408
451500,5319408
452000,5319408
452500,5319408
453000,5319408
453500,5319408
454000,5319408
454500,5319408
455000,5319408
455500,5319408
456000,5319408
456500,5319408
457000,5319408
457500,5319408
458000,5319408
458500,5319408
459000,5319408
459500,5319408
460000,5319408
460500,5319408
461000,5319408
461500,5319408
462000,5319408
462500,5319408
463000,5319408
463500,5319408
464000,5319408
464500,5319408
465000,5319408
465500,5319408
466000,5319408
466500,5319408
467000,5319408
467500,5319408
468000,5319408
468500,5319408
469000,5319408
469500,5319408
470000,5319408
470500,5319408
471000,5319408
471500,5319408
472000,5319408
472500,5319408
473000,5319408
473500,5319408
474000,5319408
474500,5319408
475000,5319408
475500,5319408
476000,5319408
476500,5319408
477000,5319408
477500,5319408
478000,5319408
478500,5319408
479000,5319408
479500,5319408
480000,5319408
480500,5319408
481000,5319408
481500,5319408
482000,5319408
482500,5319408
483000,5319408
483500,5319408
484000,5319408
484500,5319408
485000,5319408
485500,5319408
486000,5319408
486500,5319408
487000,5319408
487500,5319408
488000,5319408
488500,5319408
489000,5319408
489500,5319408
490000,5319408
490500,5319408
491000,5319408
491500,5319408
492000,5319408
492500,5319408
493000,5319408
493500,5319408
494000,5319408
494500,5319408
495000,5319408
495500,5319408
496000,5319408
496500,5319408
497000,5319408
497500,5319408
498000,5319408
498500,5319408
499000,5319408
499500,5319408
500000,5319408
500500,5319408
501000,5319408
501500,5319408
502000,5319408
502500,5319408
503000,5319408
503500,5319408
504000,5319408
504500,5319408
505000,5319408
505500,5319408
506000,5319408
506500,5319408
507000,5319408
507500,5319408
508000,5319408
508500,5319408
509000,5319408
509500,5319408
510000,5319408
510500,5319408
511000,5319408
511500,5319408
