Document Count,Indexing Duration Micros,Start of Document
244,10340,the the the the the the the
245,10179,the the the the the the the
246,10106,the the the the the the the
247,9913,the the the the the the the
248,10213,the the the the the the the
249,10167,the the the the the the the
250,10194,the the the the the the the
251,10143,the the the the the the the
252,10175,the the the the the the the
253,10071,the the the the the the the
254,10087,the the the the the the the
255,10120,the the the the the the the
256,9975,the the the the the the the
257,10000,the the the the the the the
258,9884,the the the the the the the
259,9894,the the the the the the the
260,10271,the the the the the the the
261,10151,the the the the the the the
262,9937,the the the the the the the
263,9944,the the the the the the the
264,10024,the the the the the the the
265,10127,the the the the the the the
266,10331,the the the the the the the
267,10119,the the the the the the the
268,10337,the the the the the the the
269,10042,the the the the the the the
270,10201,the the the the the the the
271,10063,the the the the the the the
272,9988,the the the the the the the
273,10036,the the the the the the the
274,10058,the the the the the the the
275,9921,the the the the the the the
276,9879,the the the the the the the
277,10211,the the the the the the the
278,10178,the the the the the the the
279,10405,the the the the the the the
280,10310,the the the the the the the
281,10085,the the the the the the the
282,10066,the the the the the the the
283,10175,the the the the the the the
284,10039,the the the the the the the
285,10316,the the the the the the the
286,10019,the the the the the the the
287,10137,the the the the the the the
288,10050,the the the the the the the
289,10024,the the the the the the the
290,10078,the the the the the the the
291,10070,the the the the the the the
292,10042,the the the the the the the
293,10072,the the the the the the the
294,10111,the the the the the the the
295,10126,the the the the the the the
296,10166,the the the the the the the
297,10075,the the the the the the the
298,10072,the the the the the the the
299,10107,the the the the the the the
300,10347,the the the the the the the
301,10123,the the the the the the the
302,10146,the the the the the the the
303,10154,the the the the the the the
304,10110,the the the the the the the
305,10199,the the the the the the the
306,10152,the the the the the the the
307,10109,the the the the the the the
308,10358,the the the the the the the
309,10238,the the the the the the the
310,10444,the the the the the the the
311,10053,the the the the the the the
312,10362,the the the the the the the
313,10168,the the the the the the the
314,10317,the the the the the the the
315,10075,the the the the the the the
316,10068,the the the the the the the
317,10181,the the the the the the the
318,10113,the the the the the the the
319,10106,the the the the the the the
320,10134,the the the the the the the
321,10102,the the the the the the the
322,10349,the the the the the the the
323,10061,the the the the the the the
324,10102,the the the the the the the
325,10086,the the the the the the the
326,10060,the the the the the the the
327,10168,the the the the the the the
328,10383,the the the the the the the
329,10104,the the the the the the the
330,10018,the the the the the the the
331,10228,the the the the the the the
332,10780,the the the the the the the
333,10419,the the the the the the the
334,10655,the the the the the the the
335,10225,the the the the the the the
336,10312,the the the the the the the
337,10199,the the the the the the the
338,10209,the the the the the the the
339,10189,the the the the the the the
340,10135,the the the the the the the
341,10137,the the the the the the the
342,10043,the the the the the the the
343,10007,the the the the the the the
344,10073,the the the the the the the
345,10166,the the the the the the the
346,10028,the the the the the the the
347,10154,the the the the the the the
348,10334,the the the the the the the
349,10343,the the the the the the the
350,10086,the the the the the the the
351,10284,the the the the the the the
352,10192,the the the the the the the
353,10134,the the the the the the the
354,10042,the the the the the the the
355,10187,the the the the the the the
356,10132,the the the the the the the
357,10310,the the the the the the the
358,10156,the the the the the the the
359,10085,the the the the the the the
360,10040,the the the the the the the
361,10211,the the the the the the the
362,10650,the the the the the the the
363,10135,the the the the the the the
364,10196,the the the the the the the
365,10233,the the the the the the the
366,10599,the the the the the the the
367,10185,the the the the the the the
368,10172,the the the the the the the
369,10195,the the the the the the the
370,10127,the the the the the the the
371,10852,the the the the the the the
372,10612,the the the the the the the
373,10148,the the the the the the the
374,10347,the the the the the the the
375,10335,the the the the the the the
376,10558,the the the the the the the
377,10365,the the the the the the the
378,10419,the the the the the the the
379,10353,the the the the the the the
380,10330,the the the the the the the
381,10355,the the the the the the the
382,10301,the the the the the the the
383,10337,the the the the the the the
384,10327,the the the the the the the
385,10391,the the the the the the the
386,10186,the the the the the the the
387,10817,the the the the the the the
388,10337,the the the the the the the
389,10435,the the the the the the the
390,10093,the the the the the the the
391,10800,the the the the the the the
392,10383,the the the the the the the
393,11231,the the the the the the the
394,10084,the the the the the the the
395,10205,the the the the the the the
396,10195,the the the the the the the
397,10324,the the the the the the the
398,10376,the the the the the the the
399,10181,the the the the the the the
400,10334,the the the the the the the
401,10150,the the the the the the the
402,10050,the the the the the the the
403,10219,the the the the the the the
404,10244,the the the the the the the
405,11002,the the the the the the the
406,9970,the the the the the the the
