Document Count,Indexing Duration
403,32.042µs
404,34.958µs
405,85.042µs
406,288.75µs
407,613.417µs
408,221.25µs
409,324.791µs
410,170.834µs
411,139.166µs
412,376.041µs
413,190.292µs
414,175.5µs
415,274.791µs
416,102.042µs
417,47.417µs
418,33.416µs
419,418.542µs
420,140.875µs
421,343.625µs
422,42.5µs
423,6.458µs
424,103.25µs
425,139.792µs
426,259.916µs
427,349.125µs
428,314.583µs
429,117.542µs
430,143.417µs
431,185.25µs
432,244µs
433,72µs
434,4.167µs
435,82.375µs
436,308.333µs
437,362.917µs
438,112.209µs
439,4.292µs
440,75.25µs
441,125.209µs
442,216.916µs
443,1.992625ms
444,40.75µs
445,142.291µs
446,249.875µs
447,44.25µs
448,4.083µs
449,94.958µs
450,270.75µs
451,130.333µs
452,327.792µs
453,164.542µs
454,84.333µs
455,293.25µs
456,26.709µs
457,79.75µs
458,12.625µs
459,37.958µs
460,44.458µs
461,29.875µs
462,403.25µs
463,86.417µs
464,4µs
465,23.667µs
466,268.375µs
467,114.25µs
468,149µs
469,332.125µs
470,3.75µs
471,296.5µs
472,180.75µs
473,57.334µs
474,16.583µs
475,13µs
476,74.375µs
477,12.916µs
478,6.375µs
479,37.75µs
480,76.75µs
481,25.208µs
482,197.959µs
483,56.041µs
484,147.416µs
485,172.584µs
486,17.959µs
487,4.709µs
488,169.667µs
489,71µs
490,297.458µs
491,451.958µs
492,168.041µs
493,83.667µs
494,157.125µs
495,22.375µs
496,18.084µs
497,6.041µs
498,25.375µs
499,7.125µs
500,12.083µs
501,29.917µs
502,104.166µs
503,77.625µs
504,28.459µs
505,18.75µs
506,17.042µs
507,6.584µs
508,14.292µs
509,17.5µs
510,151.25µs
511,20µs
512,32µs
513,76.125µs
514,36.958µs
515,21.917µs
516,55.041µs
517,3.458µs
518,30.958µs
519,31.75µs
520,80.167µs
521,50.5µs
522,50.334µs
523,17.833µs
524,23.417µs
525,33.833µs
526,66.375µs
527,35.708µs
528,115.625µs
529,97.875µs
530,315.792µs
531,312.916µs
532,223.667µs
533,92.042µs
534,45.667µs
535,39.167µs
536,16.583µs
537,16.709µs
538,15.75µs
539,10.292µs
540,25µs
541,277.834µs
542,98.792µs
543,209.584µs
544,21.416µs
545,34.625µs
546,130.375µs
547,36.25µs
548,36.125µs
549,31.917µs
550,75.084µs
551,52.583µs
552,61.209µs
553,83µs
554,29.375µs
555,222.333µs
556,27.042µs
557,14.834µs
558,25.708µs
559,23.75µs
560,10.5µs
561,5.834µs
562,41.541µs
563,149.417µs
564,23.583µs
565,8.75µs
566,194.25µs
567,22.875µs
568,337.042µs
569,163.542µs
570,4.625µs
571,108.166µs
572,112.833µs
573,203.417µs
574,115.208µs
575,37.875µs
576,64.459µs
577,8µs
578,19.667µs
579,50.458µs
580,159.291µs
581,24.167µs
582,59.209µs
583,69.459µs
584,80.084µs
585,14.709µs
586,14.834µs
587,64µs
588,26.25µs
589,136.417µs
590,84.625µs
591,150.25µs
592,31.167µs
593,136.666µs
594,96.625µs
595,98.833µs
596,219.208µs
597,92.875µs
598,124.166µs
599,149.792µs
600,51.917µs
601,4.458µs
602,65.709µs
603,25.458µs
604,11µs
605,50.125µs
606,32.834µs
607,63.833µs
608,23.958µs
609,34.833µs
610,32µs
611,59.25µs
612,23.708µs
613,77.708µs
614,121.125µs
615,47.958µs
616,57.291µs
617,20.958µs
618,72.417µs
619,37.125µs
620,43.916µs
621,68.083µs
622,5.5µs
623,159.417µs
624,21.709µs
625,88.375µs
626,95.833µs
